2019-03-25 15:22:32.719 8938-9159/com.realmdemo I/ReactNativeJS: starting db insertions
2019-03-25 15:22:32.720 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 1
2019-03-25 15:22:32.723 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 1
2019-03-25 15:22:32.723 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 2
2019-03-25 15:22:32.726 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 2
2019-03-25 15:22:32.726 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 3
2019-03-25 15:22:32.731 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 3
2019-03-25 15:22:32.731 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 4
2019-03-25 15:22:32.733 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 4
2019-03-25 15:22:32.733 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 5
2019-03-25 15:22:32.735 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 5
2019-03-25 15:22:32.735 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 6
2019-03-25 15:22:32.738 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 6
2019-03-25 15:22:32.738 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 7
2019-03-25 15:22:32.740 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 7
2019-03-25 15:22:32.740 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 8
2019-03-25 15:22:32.742 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 8
2019-03-25 15:22:32.742 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 9
2019-03-25 15:22:32.744 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 9
2019-03-25 15:22:32.744 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 10
2019-03-25 15:22:32.747 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 10
2019-03-25 15:22:32.747 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 11
2019-03-25 15:22:32.750 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 11
2019-03-25 15:22:32.750 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 12
2019-03-25 15:22:32.752 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 12
2019-03-25 15:22:32.752 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 13
2019-03-25 15:22:32.754 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 13
2019-03-25 15:22:32.754 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 14
2019-03-25 15:22:32.756 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 14
2019-03-25 15:22:32.756 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 15
